sp_artistid,sp_artistname,sp_followers,sp_popularity
3wGWCP3E3tYqj5memYV9Vq,Bloco do Sargento Pimenta,5169,7
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,4303517,68
62F9BiUmjqeXbBztCwiX1U,Lil Darkie,1547878,67
74ASZWbe4lXaubB36ztrGX,Bob Dylan,6285864,68
5o723EMxNulM5ydXRh7Qkk,The Beatles Complete On Ukulele,2216,13
6w3S2c3TqD9lPPN2qOpHw1,Pussy Galore,11269,11
5oFsjDzNu5UwbtKnGXKacN,Akasha,5356,36
67meObnM9NdAyCO373aaEp,Dale Watson,34853,31
0kbYTNQb4Pb1rPbbaF0pT4,Miles Davis,2458487,59
776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,6417439,67
3EOEK57CV77D4ovYVcmiyt,Dennis Lloyd,657234,63
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,5919171,72
44NX2ffIYHr6D4n7RaZF7A,Van Morrison,3000913,69
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,29186247,80
0f8MDDzIc6M4uH1xH0o0gy,Robert Johnson,560248,42
7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,6299086,72
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,10597776,79
51Blml2LZPmy7TTiAg47vQ,U2,11653893,75
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,13839901,73
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3826797,72
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,13438664,78
1eYgSi9O2AX4sLhR06HKCz,Jack Russell,6119,22
2eHOlyX9GEmBZw0X7uBiI0,Mrs Henry,660,6
319yZVtYM9MBGqmSQnMyY6,Carole King,1458596,59
5jd0MgoI9F3hxcQHBPEk6V,Bossa Bros,10416,56
5bOsFzuJ6QZMr86ezC4oXY,The Ink Spots,272364,52
3cMInYqk6yzf37zo8iznoz,DNMO,45594,49
22WZ7M8sxp5THdruNY3gXt,The Doors,7494027,70
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,19736089,76
0vYkHhJ48Bs3jWcvZXvOrP,Patti Smith,1052272,54
2hGh5VOeeqimQFxqXvfCUf,John Coltrane,1574098,62
6Mo9PoU6svvhgEum7wh2Nd,Public Enemy,1039278,53
4wQ3PyMz3WwJGI5uEqHUVR,Allman Brothers Band,1544954,60
70cRZdQywnSFp9pnc2WTCE,Simon  Garfunkel,4882400,68
1ZwdS5xdxEREPySFridCfh,2Pac,16502407,77
1eYhYunlNJlDoQhtYBvPsi,Ray Charles,2120309,65
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,8837862,75
3obqIeGrzLJXoOdxatlprm,Kirill Tipo,166,1
4OGuNAnRFWZOgOA2d51taz,Johnnie Taylor,211682,41
3qm84nBOXUEQ2vnTfUTTFC,Guns N Roses,30152047,77
10gzBoINW3cLJfZUka8Zoe,Above  Beyond,777767,58
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,8889874,78
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,5519257,73
2CvCyf1gEVhI0mX6aFXmVI,Paul Simon,2201707,65
0LyfQWJT6nXafLPZqxe9Of,Various Artists,2272831,0
53UQaKaoipgAfPoHqPa3vA,Jaybwoy,16,5
6rmv9eJiqRPvpGQeJ7e6Nk,Mandy Rowden,358,0
7GaxyUddsPok8BuhxN6OUW,James Brown,2087273,60
5a2EaR3hamoenG9rDuVn8j,Prince,7071168,68
711MCceyCBcFnzjGY4Q7Un,ACDC,27540381,78
4x1nvY2FN8jxqAFA0DA02H,John Lennon,5698719,66
6bqijgpAcVn9dEsvEpu4Ck,Clashers Season 2,7,0
5V7NIXgCnX2KuQ01Bxg20c,Of The Trees,74604,46
7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,3236721,67
6lqMXuu8EjQDDyCs89zf7a,Vi Redd,1838,7
6kACVPfCOnqzgfEF5ryl0x,Johnny Cash,6069657,70
5zaXYwewAXedKNCff45U5l,Dusty Springfield,434062,63
2YohShuz0Lf4i09lImCR5r,Georg Erixon,4257,47
6waa8mKu91GjzD4NlONlNJ,The Hollies,1138826,61
1FClsNYBUoNFtGgzeG74dW,Hank Williams,928268,54
67ea9eGLXYMsO2eYQRui3w,The Who,5210732,65
0VEYLlS75s0mdIznsxmwqf,The Imperials,24771,31
2jgPkn6LuUazBoBk6vvjh5,The Zombies,926265,57
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,6646143,74
74oJ4qxwOZvX6oSsu1DGnw,Cream,2251677,61
28j2IaYoLNPDEr3ogCZ4tM,Brendan Maynard  2,123,24
6zO6YtmClhozAfxR05frh2,Marie Miller,6125,15
1co4F2pPNH8JjTutZkmgSm,Ramones,2518057,64
2ijs0jA7fB11WRVE5F5B45,Danny Cody,40,0
6FxuPrpa8phaP3Xn73emhT,The Wood Brothers,219812,46
1bs7HoMkSyQwcobCpE9KpN,The Mamas  The Papas,1646169,65
18fFwzg9EnT0eG1j0IhoeY,Lisa Michelle Anderson,22,0
4zQjIBNXiHAGaOvnAWFrZ2,Dian Sri Pujiastuti,0,0
